Date,RISKFREE
31/01/91,0.0052
28/02/91,0.0048
28/03/91,0.0044
30/04/91,0.0053
31/05/91,0.0047
28/06/91,0.0042
31/07/91,0.0049
30/08/91,0.0046
30/09/91,0.0046
31/10/91,0.0042
29/11/91,0.0039
31/12/91,0.0038
31/01/92,0.0034
28/02/92,0.0028
31/03/92,0.0034
30/04/92,0.0032
29/05/92,0.0028
30/06/92,0.0032
31/07/92,0.0031
31/08/92,0.0026
30/09/92,0.0026
30/10/92,0.0023
30/11/92,0.0023
31/12/92,0.0028
29/01/93,0.0023
26/02/93,0.0022
31/03/93,0.0025
30/04/93,0.0024
28/05/93,0.0022
30/06/93,0.0025
30/07/93,0.0024
31/08/93,0.0025
30/09/93,0.0026
29/10/93,0.0022
30/11/93,0.0025
31/12/93,0.0023
31/01/94,0.0025
28/02/94,0.0021
31/03/94,0.0027
29/04/94,0.0027
31/05/94,0.0031
30/06/94,0.0031
29/07/94,0.0028
31/08/94,0.0037
30/09/94,0.0037
31/10/94,0.0038
30/11/94,0.0037
30/12/94,0.0044
31/01/95,0.0042
28/02/95,0.004
31/03/95,0.0046
28/04/95,0.0044
31/05/95,0.0054
30/06/95,0.0047
31/07/95,0.0045
31/08/95,0.0047
29/09/95,0.0043
31/10/95,0.0047
30/11/95,0.0042
29/12/95,0.0049
31/01/96,0.0043
29/02/96,0.0039
29/03/96,0.0039
30/04/96,0.0046
31/05/96,0.0042
28/06/96,0.004
31/07/96,0.0045
30/08/96,0.0041
30/09/96,0.0044
31/10/96,0.0042
29/11/96,0.0041
31/12/96,0.0046
31/01/97,0.0045
28/02/97,0.0039
31/03/97,0.0043
30/04/97,0.0043
30/05/97,0.0049
30/06/97,0.0037
31/07/97,0.0043
29/08/97,0.0041
30/09/97,0.0044
31/10/97,0.0042
28/11/97,0.0039
31/12/97,0.0048
30/01/98,0.0043
27/02/98,0.0039
31/03/98,0.0039
30/04/98,0.0043
29/05/98,0.004
30/06/98,0.0041
31/07/98,0.004
31/08/98,0.0043
30/09/98,0.0046
30/10/98,0.0032
30/11/98,0.0031
31/12/98,0.0038
29/01/99,0.0035
26/02/99,0.0035
31/03/99,0.0043
30/04/99,0.0037
28/05/99,0.0034
30/06/99,0.004
30/07/99,0.0038
31/08/99,0.0039
30/09/99,0.0039
29/10/99,0.0039
30/11/99,0.0036
31/12/99,0.0044
31/01/00,0.0041
29/02/00,0.0043
31/03/00,0.0047
28/04/00,0.0046
31/05/00,0.005
30/06/00,0.004
31/07/00,0.0048
31/08/00,0.005
29/09/00,0.0051
31/10/00,0.0056
30/11/00,0.0051
29/12/00,0.005
31/01/01,0.0054
28/02/01,0.0038
30/03/01,0.0042
30/04/01,0.0039
31/05/01,0.0032
29/06/01,0.0028
31/07/01,0.003
31/08/01,0.0031
28/09/01,0.0028
31/10/01,0.0022
30/11/01,0.0017
31/12/01,0.0015
31/01/02,0.0014
28/02/02,0.0013
28/03/02,0.0013
30/04/02,0.0015
31/05/02,0.0014
28/06/02,0.0013
31/07/02,0.0015
30/08/02,0.0014
30/09/02,0.0014
31/10/02,0.0014
29/11/02,0.0012
31/12/02,0.0011
31/01/03,0.001
28/02/03,0.0009
31/03/03,0.001
30/04/03,0.001
30/05/03,0.0009
30/06/03,0.001
31/07/03,0.0007
29/08/03,0.0007
30/09/03,0.0008
31/10/03,0.0007
28/11/03,0.0007
31/12/03,0.0008
30/01/04,0.0007
27/02/04,0.0006
31/03/04,0.0009
30/04/04,0.0008
28/05/04,0.0006
30/06/04,0.0008
30/07/04,0.001
31/08/04,0.0011
30/09/04,0.0011
29/10/04,0.0011
30/11/04,0.0015
31/12/04,0.0016
31/01/05,0.0016
28/02/05,0.0016
31/03/05,0.0021
29/04/05,0.0021
31/05/05,0.0024
30/06/05,0.0023
29/07/05,0.0024
31/08/05,0.003
30/09/05,0.0029
31/10/05,0.0027
30/11/05,0.0031
30/12/05,0.0032
31/01/06,0.0035
28/02/06,0.0034
31/03/06,0.0037
28/04/06,0.0036
31/05/06,0.0043
30/06/06,0.004
31/07/06,0.004
31/08/06,0.0042
29/09/06,0.0041
31/10/06,0.0041
30/11/06,0.0042
29/12/06,0.004
31/01/07,0.0044
28/02/07,0.0038
30/03/07,0.0043
30/04/07,0.0044
31/05/07,0.0041
29/06/07,0.004
31/07/07,0.004
31/08/07,0.0042
28/09/07,0.0032
31/10/07,0.0032
30/11/07,0.0034
31/12/07,0.0027
31/01/08,0.0021
29/02/08,0.0013
31/03/08,0.0017
30/04/08,0.0018
30/05/08,0.0018
30/06/08,0.0017
31/07/08,0.0015
29/08/08,0.0013
30/09/08,0.0015
31/10/08,0.0008
28/11/08,0.0003
31/12/08,0
30/01/09,0
27/02/09,0.0001
31/03/09,0.0002
30/04/09,0.0001
29/05/09,0
30/06/09,0.0001
31/07/09,0.0001
31/08/09,0.0001
30/09/09,0.0001
30/10/09,0
30/11/09,0
31/12/09,0.0001
29/01/10,0
26/02/10,0
31/03/10,0.0001
30/04/10,0.0001
28/05/10,0.0001
30/06/10,0.0001
30/07/10,0.0001
31/08/10,0.0001
30/09/10,0.0001
29/10/10,0.0001
30/11/10,0.0001
31/12/10,0.0001
31/01/11,0.0001
28/02/11,0.0001
31/03/11,0.0001
29/04/11,0
31/05/11,0
30/06/11,0
29/07/11,0
31/08/11,0.0001
30/09/11,0
31/10/11,0
30/11/11,0
30/12/11,0
31/01/12,0
29/02/12,0
30/03/12,0
30/04/12,0
31/05/12,0.0001
29/06/12,0
31/07/12,0
31/08/12,0.0001
28/09/12,0.0001
31/10/12,0.0001
30/11/12,0.0001
31/12/12,0.0001
31/01/13,0
28/02/13,0
28/03/13,0
30/04/13,0
31/05/13,0
28/06/13,0
31/07/13,0
30/08/13,0
30/09/13,0
31/10/13,0
29/11/13,0
31/12/13,0
31/01/14,0
28/02/14,0
31/03/14,0
30/04/14,0
30/05/14,0
30/06/14,0
31/07/14,0
29/08/14,0
30/09/14,0
31/10/14,0
28/11/14,0
31/12/14,0
